Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
10,temperature,2015-01-21,6,24,B,156-4,ASW,15,ASW15,3,15308.32,14.78
11,temperature,2015-01-21,6,24,B,156-4,WC,21,WC21,3,16358.66,11.44
12,temperature,2015-01-21,6,24,B,156-4,WC,15,WC15,3,14154.73,11.44
13,temperature,2015-01-21,6,24,B,168-16,ASW,21,ASW21,1,19238.81,14.78
14,temperature,2015-01-21,6,24,B,168-16,ASW,15,ASW15,1,13894.07,14.78
15,temperature,2015-01-21,6,24,B,168-16,WC,21,WC21,1,18934.71,11.44
16,temperature,2015-01-21,6,24,B,168-16,WC,15,WC15,1,14092.98,11.44
17,temperature,2015-01-21,6,24,B,168-16,ASW,21,ASW21,2,19501.53,14.78
18,temperature,2015-01-21,6,24,B,168-16,ASW,15,ASW15,2,14196.83,14.78
19,temperature,2015-01-21,6,24,B,168-16,WC,21,WC21,2,17838.28,11.44
20,temperature,2015-01-21,6,24,B,168-16,WC,15,WC15,2,13652.81,11.44
21,temperature,2015-01-21,6,24,B,168-16,ASW,21,ASW21,3,18872.59,14.78
22,temperature,2015-01-21,6,24,B,168-16,ASW,15,ASW15,3,13937.93,14.78
23,temperature,2015-01-21,6,24,B,168-16,WC,21,WC21,3,13416.88,11.44
24,temperature,2015-01-21,6,24,B,168-16,WC,15,WC15,3,14464.67,11.44
1,temperature,2015-01-22,7,48,B,156-4,ASW,21,ASW21,1,32594.78,14.69
2,temperature,2015-01-22,7,48,B,156-4,ASW,15,ASW15,1,17652.88,14.69
3,temperature,2015-01-22,7,48,B,156-4,WC,21,WC21,1,26187.26,11.66
4,temperature,2015-01-22,7,48,B,156-4,WC,15,WC15,1,21678.81,11.66
5,temperature,2015-01-22,7,48,B,156-4,ASW,21,ASW21,2,26068.57,14.69
6,temperature,2015-01-22,7,48,B,156-4,ASW,15,ASW15,2,21568.87,14.69
7,temperature,2015-01-22,7,48,B,156-4,WC,21,WC21,2,26906.01,11.66
8,temperature,2015-01-22,7,48,B,156-4,WC,15,WC15,2,20138.17,11.66
9,temperature,2015-01-22,7,48,B,156-4,ASW,21,ASW21,3,27386.24,14.69
10,temperature,2015-01-22,7,48,B,156-4,ASW,15,ASW15,3,21408.27,14.69
11,temperature,2015-01-22,7,48,B,156-4,WC,21,WC21,3,26759.62,11.66
12,temperature,2015-01-22,7,48,B,156-4,WC,15,WC15,3,19426.89,11.66
13,temperature,2015-01-22,7,48,B,168-16,ASW,21,ASW21,1,30240.4,14.69
14,temperature,2015-01-22,7,48,B,168-16,ASW,15,ASW15,1,19267.57,14.69
15,temperature,2015-01-22,7,48,B,168-16,WC,21,WC21,1,29186.58,11.66
16,temperature,2015-01-22,7,48,B,168-16,WC,15,WC15,1,18048.65,11.66
17,temperature,2015-01-22,7,48,B,168-16,ASW,21,ASW21,2,29446.87,14.69
18,temperature,2015-01-22,7,48,B,168-16,ASW,15,ASW15,2,22275.83,14.69
19,temperature,2015-01-22,7,48,B,168-16,WC,21,WC21,2,25000.7,11.66
20,temperature,2015-01-22,7,48,B,168-16,WC,15,WC15,2,17605.13,11.66
21,temperature,2015-01-22,7,48,B,168-16,ASW,21,ASW21,3,30678.55,14.69
22,temperature,2015-01-22,7,48,B,168-16,ASW,15,ASW15,3,19845.25,14.69
23,temperature,2015-01-22,7,48,B,168-16,WC,21,WC21,3,21365.96,11.66
24,temperature,2015-01-22,7,48,B,168-16,WC,15,WC15,3,19973.22,11.66
1,temperature,2015-01-23,8,72,B,156-4,ASW,21,ASW21,1,42750.92,15.77
2,temperature,2015-01-23,8,72,B,156-4,ASW,15,ASW15,1,24026.98,15.77
3,temperature,2015-01-23,8,72,B,156-4,WC,21,WC21,1,30321.43,11.27
